1. Certified statement of total time in service (Hrs & Cycles),2. Non-Incident-Accident Statement,3. Non-exceedance Statement,4. Power-Thrust rating Statement,5. PMA-DER Statement,6. Oil-Fluid used Statement,7. Field repairs Statement,8. Engine Condition-Trend Monitoring Report,9. Oil Consumption Reports,10. Last Test Cell-MPA Report,11. ETOPs compliance report,12. Manufacturer delivery docs,13. Logbook & Install-Removal History,15. Engine Last Release Certificate,16. Last Borescope Inspection,17. Commercial,18. Preservation,19. LLP Summary,21. AD,22. SB,23. In-House Modifications (If applicable),24. Fan Blades,25. HPT Blades,26. QEC-LRU Inventory,27. LDND-MPD,29. Ferry flight (If applicable),30. Thrust Change(s) All Supporting Historical DFP's SB's EO's,Carry Over-Forward List
Time Status Statement,Incident/Accident Clearance Statement,Non Exceedance Statement,ENGINE POWER RATING STATEMENT,No Loan Part statement,The Fluid Used statement,ENGINE FIELD REPAIR STATEMENT,EGT CRUISE RAW,ENGINE OIL CONSUMPTION,Engine Ground run data,NON ETOPS STATEMENT,,Aircraft log,ARC,BSI report,Bill of sale,engine preservation,engine LLP status,AD status,SB status,In-House Modification statemnet,Fan blade listing,HPT blade listing,Accessories status,LAST DONE NEXT DUE,Ferry Flight statement,Thrust Confirmation Letter,Carry forward sheet
,,ENGINE NON-EXCEEDANCE STATEMENT,Power rating statement,Non type certificate,Engine Fuel/Oil Used Statement,no deferred / no open / no HIL item statement,Hot day margin,ENG/OIL Consumption Print With Totals and Averages,Summary of performance,extended -range twin-engine ,Export COA,engine log,Authorized release certificate,,BOS,off wing engine preservation,engine life limited parts status,ENGINE AD COMPLIANCE,ENGINE SB COMPLIANCE,,Fan blades listing,HPT blades listing,Accessories status list,LDND,,statement of engine thrust useage,carry forward list
On watch statement,Non incident / Non accident statement,Engine Power Rating / No Exceedance,Engine thrust statement,Parts manufacturing approval,,,core speed cruise,ENG/OIL Consumption,Standard Day Performance,extended -range twin-engine operational performance standards,manufactures's SB report ,Replacement History,airworthiness approval Tag,borescope inspection,commercial package,Preservation,engine life limited parts report,AD REF ,SB REF ,No In-House Modifications,Fan blade  mapping,HPT blade  mapping,Accessories list,"TASK (LAST DONE, NEXT DUE) REPORT ",Ferry log,thrust useage statement,CARRY FORWARD SHEET REPORT
Operator's combination statement,incident accident clearance statement,Parameter exceedance,Thrust Rating Statement,P.M.A.,Engine Fluids used statement,No deferred / On- watch statement,fuel flow cruise,Engine TS-1 fuel / oil statement usage,Hot Day Performance,NON-ETOPS OPERATION STATEMENT,manufactures's AD report ,On off History,FAA form 8130-3,borescope inspection report,Warranty bill of sale,power plant preservation,engine life limited parts log,Airworthiness directive status,Service bulletine status,NON-OEM MODIFICATION / STC STATEMENT,Fan blades mapping,HPT blades mapping,Inventory records,TASK (LDND) REPORT ,aircraft ferry log,,LIST OF REQUIRED ITEMS
combo statement,OPERATOR NON-INCIDENT STATEMENT,,,PMA,NO CIS FUEL USAGE STATEMENT,No FIELD REPAIR,oil-pressure cruise,Oil Consumption Report,Engine test,ETOPS flight segment,As-built engine data submittal,Engine Historical records,EASA form 1,engine/apu borescope inspection report,aircraft sale agreement,perform preservation,LLP Summary,Airworthiness directive summary,Service bulletine summary,Non-OEM Modifications,Fan blade  Distribution,HPT blade  Distribution,inventory list,TASK LAST DONE NEXT DUE REPORT ,engine ferry log,,
Combination Statement,,,,PMA parts,CIS fuels,statement of no field repair,oil-temprature cruise,Engine oil consumption,,NON-ETOPS,engine data submittal,engine history log,Form Tracking Number,Borescope Inspection sheets,certificate of insurance/reinsurance ,engine preservation tag,LLP list,AD summary,SB summary,,Fan blades distribution,HPT blades distribution,inventory status,Pending events of Aircraft ,Ferry Record,,
Statement of Current Hours and Cycles,,,,Engine field repair statement,,No field repairs statement,fan vibe fwd cruise,oil consumption trending/history,,ETOPS,AS-BUILT ENGINE SERVICE BULLETIN STATUS,on-off log,,,return acceptance receipt,engine / apu / component preservation tag,,AD description,SB description,In-House / Local Modifications statement,Fan blade  Status report,HPT blade  Status report,ACCESSORIES & QEC List,Forecast Summary,,,
Certification Statement,Non Incident/Accident Clearance Statement,,,no field repairs,,,fan vibe rear cruise,oil consumption trend,,ETOPS operation,Type-certificate,ENGINE REMOVAL/INSTALLATION/UTILIZATION STATUS,,,,Preservation duration,,Engine Airworthiness directives (AD) compliance checklist,Engine Service bulletines (SB) compliance checklist,MODs statement,Fan blades status report,HPT blades status report,ACCESSORIES List,MPD status,,,
,ENGINE NON INCIDENT/ACCIDENT STATEMENT,,,DER/PMA parts statement,oli and fluid statement,,indicated fan speed,Analysis for oil uplift,engine run up report,ETOPS configuration,export certificate of airworthiness,Engine Installation / Removal Summary Sheet,Approving Competent Authority/Country,,,preservation tag,,AD title,SB title,NON-Manufacturer modification statement,Fan blade  identification,HPT blade  identification,QEC-LRU list,MPD report,,,
